title,author,date,link,pdf_link
A lazy commit protocol for mobile transactions,"Sharvanath Pathak, Gautam Barua",21-22 Feb. 2014,https://ieeexplore.ieee.org/document/6779363/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6779363
Advanced transaction scheduling protocol for multilevel secure database in wireless mobile network environment,"Hee-Wan Kim, Dong-Soon Park, Hae-Kyung Rhee, Ung-Mo Kim",22-25 April 2001,https://ieeexplore.ieee.org/document/932094/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=932094
Comparing transaction commit protocols for mobile environments,"C. Bobineau, C. Labbe, C. Roncancio, P. Serrano-Alvarado",3-3 Sept. 2004,https://ieeexplore.ieee.org/document/1333552/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1333552
Defensive protocol to ensure safe Mobile Financial Transaction in current context,"Md. Hasib Firoz, Zulfiquar Ahmed",18-20 Jan. 2017,https://ieeexplore.ieee.org/document/7886157/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7886157
Design and analysis of a secure agent-based mobile bill payment protocol for bulk transactions,"Pemika Limpittaya, Maykin Warasart, Supakorn Kungpisdan",30 May-1 June 2012,https://ieeexplore.ieee.org/document/6261928/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6261928
Performance Evaluation of Atomic Commit Protocols for Mobile Transactions,"N. Nouali, L. Boukantar, H. Drias",17-20 Sept. 2006,https://ieeexplore.ieee.org/document/4375220/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4375220
Petri nets analysis of transaction and submitter management protocols in mobile distributed computing environment,"A. Zaslavsky, L.H. Yeo, S.J. Lai, B. Mitelman",20-23 Sept. 1995,https://ieeexplore.ieee.org/document/540132/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=540132
"Seamless mobile transaction processing: models, protocols and software tools",V.K. Murthy,29-29 June 2001,https://ieeexplore.ieee.org/document/934813/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=934813
TCOT-a timeout-based mobile transaction commitment protocol,"V. Kumar, N. Prabhu, M.H. Dunham, A.Y. Seydim",Oct. 2002,https://ieeexplore.ieee.org/document/1039846/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1039846
